table,row_locator,ownership,action,confidence,policy_basis
discussion_threads,"{""thread_id"": ""THREAD-011""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.workspace_id=WS-011 -> ['FIRM-001'] | ID generated_documents.workspace_id=WS-011 -> ['FIRM-001'] | ID workspace_notes.workspace_id=WS-011 -> ['FIRM-001'] | ID workspaces.workspace_id=WS-011 -> ['FIRM-001'] | ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Conflicting parent ownership."
discussion_threads,"{""thread_id"": ""THREAD-012""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.workspace_id=WS-012 -> ['FIRM-001'] | ID generated_documents.workspace_id=WS-012 -> ['FIRM-001'] | ID workspace_notes.workspace_id=WS-012 -> ['FIRM-001'] | ID workspaces.workspace_id=WS-012 -> ['FIRM-001'] | ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Conflicting parent ownership."
document_templates,"{""template_id"": ""TPL-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:54:56 | updated_at=2026-04-12 22:54:56 | Approved reusable reference-content policy.
document_templates,"{""template_id"": ""TPL-002""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:54:56 | updated_at=2026-04-12 22:54:56 | Approved reusable reference-content policy.
document_templates,"{""template_id"": ""TPL-003""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:54:56 | updated_at=2026-04-12 22:54:56 | Approved reusable reference-content policy.
intake_module_ledger,"{""id"": 1}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 2}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 3}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 4}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 5}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 6}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 7}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 8}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 9}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 10}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 11}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 12}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 13}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 14}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 15}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:06 | Operational intake ledger requires a conclusive intake/session parent.
intake_module_ledger,"{""id"": 16}",UNRESOLVED_TENANT,QUARANTINE_INTAKE_PARENT_REQUIRED,LOW,updated_at=2026-05-21T12:14:07 | Operational intake ledger requires a conclusive intake/session parent.
learning_articles,"{""article_id"": ""ART-LEARN-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-LEARN-002""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-LEARN-003""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-LEARN-010""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-LEARN-011""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-LEARN-012""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-LEARN-013""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-TRUST-BASICS-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-05-01 18:05:20 | updated_at=2026-05-01 18:05:20 | Approved reusable reference-content policy.
learning_articles,"{""article_id"": ""ART-CERTIFICATES-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-05-01 18:05:20 | updated_at=2026-05-01 18:05:20 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-1041""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-1040""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-1041X""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-8841""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:20:18 | updated_at=2026-04-12 22:20:18 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-56""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-2848""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-8822B""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-K1""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-TRUST-MINUTES-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-05-01 18:05:20 | updated_at=2026-05-01 18:05:20 | Approved reusable reference-content policy.
tax_form_guides,"{""guide_id"": ""GUIDE-CERT-REGISTRY-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-05-01 18:05:20 | updated_at=2026-05-01 18:05:20 | Approved reusable reference-content policy.
tutorial_videos,"{""video_id"": ""VID-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:37:00 | updated_at=2026-04-12 22:37:00 | Approved reusable reference-content policy.
tutorial_videos,"{""video_id"": ""VID-002""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:37:00 | updated_at=2026-04-12 22:37:00 | Approved reusable reference-content policy.
tutorial_videos,"{""video_id"": ""VID-010""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
tutorial_videos,"{""video_id"": ""VID-011""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
tutorial_videos,"{""video_id"": ""VID-012""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Approved reusable reference-content policy.
user_permission_overrides,"{""id"": 2}",UNRESOLVED_ACCOUNT,QUARANTINE_PERMISSION_OWNER_REQUIRED,LOW,created_at=2026-04-28 19:26:59 | User-specific permission override cannot be shared globally.
