table,row_locator,ownership,action,confidence,validation_status,evidence
audit_log,"{""id"": 140}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 141}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 142}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 143}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 144}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 145}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 146}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 147}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 148}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 149}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 14}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 150}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 151}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 152}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 153}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 154}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 155}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 156}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 157}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 158}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 159}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 15}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 160}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 161}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 162}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 163}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 164}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 165}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 166}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 167}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 168}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 169}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 16}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 170}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 171}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 172}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 173}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 174}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 175}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 176}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 177}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 178}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 179}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 17}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 180}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 181}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 182}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 183}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 184}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 185}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 186}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 187}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 188}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 189}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 18}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 190}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 191}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 192}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 193}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 194}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 195}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 196}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 197}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 198}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 199}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 19}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 1}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 200}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 201}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 202}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 203}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 204}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 205}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 206}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 207}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 208}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 209}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 20}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 210}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 211}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 212}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 213}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 214}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 215}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 216}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 217}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 218}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 219}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 21}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 220}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 221}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 222}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 223}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 224}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 225}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 226}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 227}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 228}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 229}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 22}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 230}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 231}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 232}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 233}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
