table,row_locator,current_action,current_ownership,proposed_resolution,confidence,firm1_markers,firm2_markers,parent_owners,parent_evidence,schema_evidence,row_snapshot
discussion_threads,"{""thread_id"": ""THREAD-001""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | workspace_id | related_trust_type | owner_id,"{""category"": ""trust_type_questions"", ""created_at"": ""2026-04-12 22:44:16"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""revocable"", ""status"": ""open"", ""thread_id"": ""THREAD-001"", ""title"": ""Revocable vs Irrevocable design questions"", ""updated_at"": ""2026-04-12 22:44:16"", ""workspace_id"": ""WS-001""}"
discussion_threads,"{""thread_id"": ""THREAD-002""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | workspace_id | related_trust_type | owner_id,"{""category"": ""tax_forms_questions"", ""created_at"": ""2026-04-12 22:44:16"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""other"", ""status"": ""open"", ""thread_id"": ""THREAD-002"", ""title"": ""Which filings matter first for fiduciary planning?"", ""updated_at"": ""2026-04-12 22:44:16"", ""workspace_id"": ""WS-002""}"
discussion_threads,"{""thread_id"": ""THREAD-010""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | workspace_id | related_trust_type | owner_id,"{""category"": ""asset_structuring_questions"", ""created_at"": ""2026-04-13 02:11:23"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""land"", ""status"": ""open"", ""thread_id"": ""THREAD-010"", ""title"": ""How should land-holding questions be organized before formal drafting?"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-010""}"
discussion_threads,"{""thread_id"": ""THREAD-011""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | workspace_id | related_trust_type | owner_id,"{""category"": ""fiduciary_process_questions"", ""created_at"": ""2026-04-13 02:11:23"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 56"", ""related_trust_type"": ""insurance"", ""status"": ""open"", ""thread_id"": ""THREAD-011"", ""title"": ""What fiduciary questions arise in insurance planning structure?"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-011""}"
discussion_threads,"{""thread_id"": ""THREAD-012""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | workspace_id | related_trust_type | owner_id,"{""category"": ""tax_forms_questions"", ""created_at"": ""2026-04-13 02:11:23"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""complex"", ""status"": ""open"", ""thread_id"": ""THREAD-012"", ""title"": ""Which reports should be reviewed first in a filing-focused workspace?"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-012""}"
document_templates,"{""template_id"": ""TPL-001""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""category"": ""planning"", ""created_at"": ""2026-04-12 22:54:56"", ""description"": ""Internal planning memo for comparing trust structure options before formal drafting."", ""name"": ""Trust Planning Memo"", ""status"": ""active"", ""template_body"": ""TRUST PLANNING MEMO\\n\\nTitle: {{title}}\\n\\nPurpose:\\n{{purpose}}\\n\\nTrust Type Focus:\\n{{trust_type_focus}}\\n\\nNotes:\\n{{notes}}"", ""template_id"": ""TPL-001"", ""trust_type"": ""other"", ""updated_at"": ""2026-04-12 22:54:56""}"
document_templates,"{""template_id"": ""TPL-002""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""category"": ""fiduciary"", ""created_at"": ""2026-04-12 22:54:56"", ""description"": ""Starter draft for acknowledging trustee role and authority scope."", ""name"": ""Trustee Acceptance Draft"", ""status"": ""active"", ""template_body"": ""TRUSTEE ACCEPTANCE DRAFT\\n\\nTrust Name: {{trust_name}}\\nTrustee: {{trustee_name}}\\n\\nAuthority Scope:\\n{{authority_scope}}\\n\\nNotes:\\n{{notes}}"", ""template_id"": ""TPL-002"", ""trust_type"": ""other"", ""updated_at"": ""2026-04-12 22:54:56""}"
document_templates,"{""template_id"": ""TPL-003""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""category"": ""filing"", ""created_at"": ""2026-04-12 22:54:56"", ""description"": ""Starter internal checklist for identifying forms, reports, and supporting items."", ""name"": ""Filing Checklist Draft"", ""status"": ""active"", ""template_body"": ""FILING CHECKLIST DRAFT\\n\\nTitle: {{title}}\\n\\nRelated Forms:\\n{{related_forms}}\\n\\nRelated Reports:\\n{{related_reports}}\\n\\nOpen Questions:\\n{{notes}}"", ""template_id"": ""TPL-003"", ""trust_type"": ""other"", ""updated_at"": ""2026-04-12 22:54:56""}"
intake_module_ledger,"{""id"": 1}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Classifies the user into the correct intake lane."", ""id"": 1, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1A"", ""module_name"": ""Intake Lane Map"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 2}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Translates plain-language answers into categories, modules, document requests, and risk flags."", ""id"": 2, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1B"", ""module_name"": ""Intake Translation Map"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 3}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Scores complexity, urgency, and readiness."", ""id"": 3, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1C"", ""module_name"": ""Intake Scoring Engine"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 4}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Creates calm client-facing intake snapshot."", ""id"": 4, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1D"", ""module_name"": ""Client-Facing Fiduciary Snapshot"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 5}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Stores and lists intake records."", ""id"": 5, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1E"", ""module_name"": ""Save Snapshot + Intake Dashboard List"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 6}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Separates completed and incomplete intakes."", ""id"": 6, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1F"", ""module_name"": ""Resume + Completion Status Controls"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 7}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Adds dashboard filters, print view, and export-prep screen."", ""id"": 7, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1G"", ""module_name"": ""Dashboard Polish + Print/Export Prep"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 8}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Adds internal staff/fiduciary notes."", ""id"": 8, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1H"", ""module_name"": ""Internal Review Notes"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 9}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Creates structured follow-up tasks from intake outputs."", ""id"": 9, ""locked_at"": ""2026-05-21T12:13:33"", ""module_code"": ""INT-1I"", ""module_name"": ""Follow-Up Task Builder"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 10}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Groups and summarizes follow-up tasks."", ""id"": 10, ""locked_at"": ""2026-05-21T12:13:34"", ""module_code"": ""INT-1J"", ""module_name"": ""Task Filters + Workflow Polish"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 11}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Compiles packet-prep printable checklist view."", ""id"": 11, ""locked_at"": ""2026-05-21T12:13:34"", ""module_code"": ""INT-1K"", ""module_name"": ""Follow-Up Packet / Checklist Export Prep"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 12}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Generates downloadable DOCX follow-up packet."", ""id"": 12, ""locked_at"": ""2026-05-21T12:13:34"", ""module_code"": ""INT-1L-DOCX"", ""module_name"": ""Follow-Up Packet DOCX Export"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 13}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Automatic PDF export requires LibreOffice or Word/pywin32; browser print-to-PDF remains available."", ""id"": 13, ""locked_at"": null, ""module_code"": ""INT-1L-PDF"", ""module_name"": ""Follow-Up Packet PDF Export"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""fallback"", ""status_label"": ""Fallback / Limited"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 14}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Ignores generated exports and logs export attempts."", ""id"": 14, ""locked_at"": ""2026-05-21T12:13:34"", ""module_code"": ""INT-1M"", ""module_name"": ""Export Gitignore + Audit Log"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 15}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Adds versioned export history."", ""id"": 15, ""locked_at"": ""2026-05-21T12:13:34"", ""module_code"": ""INT-1N"", ""module_name"": ""Export History Dashboard + Packet Versioning"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:06"", ""updated_by"": ""admin123""}"
intake_module_ledger,"{""id"": 16}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,,"{""description"": ""Adds local fallback for all-export dashboard scope."", ""id"": 16, ""locked_at"": ""2026-05-21T12:13:34"", ""module_code"": ""INT-1N-SCOPE"", ""module_name"": ""Export History Firm Scope Repair"", ""notes"": ""Seeded from confirmed INT-1 build sequence."", ""status"": ""locked"", ""status_label"": ""Locked"", ""updated_at"": ""2026-05-21T12:14:07"", ""updated_by"": ""admin123""}"
learning_articles,"{""article_id"": ""ART-LEARN-001""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-001"", ""body"": ""A trust is a legal relationship in which one party holds or manages property for the benefit of another according to defined terms. Common roles include settlor, trustee, and beneficiary."", ""category"": ""Foundations"", ""created_at"": ""2026-04-12 22:20:18"", ""difficulty_level"": ""Beginner"", ""related_forms"": ""Form 1041;Form 56"", ""related_reports"": ""Trust Summary PDF"", ""status"": ""published"", ""subcategory"": ""Basics"", ""summary"": ""Introductory overview of what a trust is, why it exists, and the major parties involved."", ""title"": ""What Is a Trust?"", ""trust_type"": ""other"", ""updated_at"": ""2026-04-12 22:20:18""}"
learning_articles,"{""article_id"": ""ART-LEARN-002""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-002"", ""body"": ""Trust administration depends on clearly defined roles. The settlor creates the trust, the trustee administers it, and the beneficiary receives benefit according to the trust terms."", ""category"": ""Foundations"", ""created_at"": ""2026-04-12 22:20:18"", ""difficulty_level"": ""Beginner"", ""related_forms"": ""Form 56;Form 2848"", ""related_reports"": ""Fiduciary Report PDF"", ""status"": ""published"", ""subcategory"": ""Roles"", ""summary"": ""Explains settlor, trustee, beneficiary, fiduciary, and related administrative roles."", ""title"": ""Roles in Trust Administration"", ""trust_type"": ""other"", ""updated_at"": ""2026-04-12 22:20:18""}"
learning_articles,"{""article_id"": ""ART-LEARN-003""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-003"", ""body"": ""Revocable trusts generally allow modification during life, while irrevocable trusts are generally structured for permanence and reduced unilateral change. Exact consequences depend on governing law and trust terms."", ""category"": ""Trust Types"", ""created_at"": ""2026-04-12 22:20:18"", ""difficulty_level"": ""Intermediate"", ""related_forms"": ""Form 1041;Form 1040"", ""related_reports"": ""Trust Summary PDF;1041 Report PDF"", ""status"": ""published"", ""subcategory"": ""Comparison"", ""summary"": ""Side-by-side conceptual comparison of revocable and irrevocable trusts."", ""title"": ""Revocable vs Irrevocable Trusts"", ""trust_type"": ""revocable"", ""updated_at"": ""2026-04-12 22:20:18""}"
learning_articles,"{""article_id"": ""ART-LEARN-010""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-010"", ""body"": ""Land trusts are commonly discussed where real property holding structure is central. They should be studied together with trustee roles, title handling, and reporting implications."", ""category"": ""Trust Types"", ""created_at"": ""2026-04-13 02:11:23"", ""difficulty_level"": ""Intermediate"", ""related_forms"": ""Form 1041"", ""related_reports"": ""Trust Summary PDF"", ""status"": ""published"", ""subcategory"": ""Land"", ""summary"": ""Introduces land trust structure in relation to title holding and property management planning."", ""title"": ""Land Trust Overview"", ""trust_type"": ""land"", ""updated_at"": ""2026-04-13 02:11:23""}"
learning_articles,"{""article_id"": ""ART-LEARN-011""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-011"", ""body"": ""Insurance trusts are often studied where policy ownership and insurance-related planning structure are central considerations."", ""category"": ""Trust Types"", ""created_at"": ""2026-04-13 02:11:23"", ""difficulty_level"": ""Intermediate"", ""related_forms"": ""Form 1041"", ""related_reports"": ""Trust Summary PDF"", ""status"": ""published"", ""subcategory"": ""Insurance"", ""summary"": ""Introduces insurance trust structure and policy ownership planning concepts."", ""title"": ""Insurance Trust Overview"", ""trust_type"": ""insurance"", ""updated_at"": ""2026-04-13 02:11:23""}"
learning_articles,"{""article_id"": ""ART-LEARN-012""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-012"", ""body"": ""Simple and complex trust discussions are often linked to distribution patterns, retained activity, and broader reporting implications."", ""category"": ""Trust Types"", ""created_at"": ""2026-04-13 02:11:23"", ""difficulty_level"": ""Intermediate"", ""related_forms"": ""Form 1041;Form 1041-X"", ""related_reports"": ""1041 Report PDF"", ""status"": ""published"", ""subcategory"": ""Comparison"", ""summary"": ""Compares the concepts commonly associated with simple and complex trust classifications."", ""title"": ""Simple vs Complex Trusts"", ""trust_type"": ""complex"", ""updated_at"": ""2026-04-13 02:11:23""}"
learning_articles,"{""article_id"": ""ART-LEARN-013""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-LEARN-013"", ""body"": ""Fiduciary duties include recordkeeping, acting within granted authority, following the governing terms, and maintaining accountability across reports and decisions."", ""category"": ""Foundations"", ""created_at"": ""2026-04-13 02:11:23"", ""difficulty_level"": ""Beginner"", ""related_forms"": ""Form 56"", ""related_reports"": ""Fiduciary Report PDF"", ""status"": ""published"", ""subcategory"": ""Duties"", ""summary"": ""Practical overview of fiduciary administration duties inside a trust system."", ""title"": ""Fiduciary Duties in Practice"", ""trust_type"": ""other"", ""updated_at"": ""2026-04-13 02:11:23""}"
learning_articles,"{""article_id"": ""ART-TRUST-BASICS-001""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-TRUST-BASICS-001"", ""body"": ""This article introduces trust identity, parties, property mapping, minutes, certificates, and packet review as separate workflow layers."", ""category"": ""Trust Administration"", ""created_at"": ""2026-05-01 18:05:20"", ""difficulty_level"": ""beginner"", ""related_forms"": ""Trust Minutes, Certificate Registry, Formation Preview Hub"", ""related_reports"": ""Report Center, System Health"", ""status"": ""published"", ""subcategory"": ""Foundations"", ""summary"": ""A starter guide explaining the basic records and workflow surfaces used in the Trustee App."", ""title"": ""Trust Administration Basics"", ""trust_type"": ""general"", ""updated_at"": ""2026-05-01 18:05:20""}"
learning_articles,"{""article_id"": ""ART-CERTIFICATES-001""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,trust_type,"{""article_id"": ""ART-CERTIFICATES-001"", ""body"": ""Execution certificates summarize completed governance records and connect them to signer roles, packet exports, and audit trail entries."", ""category"": ""Governance Records"", ""created_at"": ""2026-05-01 18:05:20"", ""difficulty_level"": ""beginner"", ""related_forms"": ""Trust Minutes"", ""related_reports"": ""Certificate Registry, Audit Trail"", ""status"": ""published"", ""subcategory"": ""Certificates"", ""summary"": ""A starter guide for understanding executed minutes, certificate IDs, packet exports, and audit trail records."", ""title"": ""Execution Certificates and Audit Trails"", ""trust_type"": ""general"", ""updated_at"": ""2026-05-01 18:05:20""}"
