table_name,identity_class,present_identity_fields,required_fields_for_class,missing_required_fields,optional_future_fields,normalization_priority
certificate_relationships,Class II — Governance / Execution,"created_by, created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
certificate_templates,Class IV — Reference / Registry,"created_at, updated_at","created_at, updated_at, status",status,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
certificate_type_registry,Class IV — Reference / Registry,"created_at, updated_at","created_at, updated_at, status",status,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
chart_of_accounts,Class IV — Reference / Registry,trust_id,"created_at, updated_at, status","created_at, updated_at, status","institution_id, firm_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
continuity_custody_log,Class II — Governance / Execution,"firm_id, trust_id, created_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, matter_id, created_by, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
controlled_docx_exports,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
controlled_export_prep,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
controlled_pdf_exports,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
decision_rules,Class IV — Reference / Registry,created_at,"created_at, updated_at, status","updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
discussion_messages,Class IV — Reference / Registry,created_at,"created_at, updated_at, status","updated_at, status","institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
discussion_threads,Class IV — Reference / Registry,"created_by, created_at, updated_at, status","created_at, updated_at, status",None,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Low
distributions,Class IV — Reference / Registry,"firm_id, trust_id, status","created_at, updated_at, status","created_at, updated_at","institution_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
document_intake,Class IV — Reference / Registry,"firm_id, created_at","created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
document_templates,Class III — Administrative / Workflow,"created_at, updated_at, status","firm_id, created_by, created_at, updated_at, status","firm_id, created_by","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
documents,Class I — Institutional Core,"firm_id, trust_id","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
docx_verification_gate,Class IV — Reference / Registry,"firm_id, created_at, updated_at","created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
draft_sessions,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
draft_variable_bindings,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
dynamic_draft_previews,Class IV — Reference / Registry,"firm_id, created_at, updated_at","created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
execution_event_log,Class II — Governance / Execution,"firm_id, created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, trust_id, matter_id, created_by, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
execution_packet_prep,Class II — Governance / Execution,"firm_id, created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, trust_id, matter_id, created_by, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
execution_tasks,Class II — Governance / Execution,"firm_id, trust_id, created_at, updated_at, status","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, matter_id, created_by, capacity, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
fiduciaries,Class I — Institutional Core,"firm_id, trust_id, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
final_record_archive,Class IV — Reference / Registry,"firm_id, created_at, updated_at","created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
genealogy_records,Class IV — Reference / Registry,trust_id,"created_at, updated_at, status","created_at, updated_at, status","institution_id, firm_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
generated_documents,Class III — Administrative / Workflow,"firm_id, trust_id, created_by, created_at, updated_at, status","firm_id, created_by, created_at, updated_at, status",None,"institution_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Low
guided_draft_workspace,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
identity_intake,Class IV — Reference / Registry,"firm_id, created_at, updated_at","created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
institutional_archive_freezes,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_archive_replication_ledger,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_archive_repositories,Class II — Governance / Execution,"created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_archive_topology,Class II — Governance / Execution,"created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_brand_packages,Class II — Governance / Execution,"firm_id, created_by, created_at, status","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, trust_id, matter_id, updated_at, capacity, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_certifications,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_custody_transfers,Class II — Governance / Execution,transfer_id,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_disaster_recovery_registry,Class II — Governance / Execution,"created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_evidence_packages,Class II — Governance / Execution,"created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_execution_ledger,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_execution_object_events,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_execution_object_relationships,Class II — Governance / Execution,created_at,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_execution_objects,Class II — Governance / Execution,"created_by, created_at, status","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, updated_at, capacity, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_execution_sessions,Class II — Governance / Execution,"trust_id, matter_id, created_by, created_at, updated_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_identity_assets,Class II — Governance / Execution,firm_id,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_integrity_revalidations,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_recovery_events,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_seal_ledger,Class II — Governance / Execution,None,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_signature_profiles,Class II — Governance / Execution,"firm_id, created_by, created_at, status","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, trust_id, matter_id, updated_at, capacity, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_signature_records,Class II — Governance / Execution,"certificate_id, created_at","institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","transfer_id, minute_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
institutional_witness_notary_records,Class II — Governance / Execution,created_at,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
instruments,Class I — Institutional Core,"firm_id, trust_id, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
intake_answers,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_deep_review,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_document_draft_answers,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at","firm_id, created_by, created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_document_recommendations,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at, status","firm_id, created_by, created_at, updated_at, status",None,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Low
intake_draft_readiness_ledger,Class III — Administrative / Workflow,"firm_id, created_at, updated_by, updated_at, status","firm_id, created_by, created_at, updated_at, status",created_by,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, capacity",Medium
intake_drafting_prep_gate,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_export_logs,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_final_draft_admin_approvals,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_final_draft_completion_actions,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_final_draft_completion_gate,Class III — Administrative / Workflow,"firm_id, created_at, updated_by, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, capacity",Medium
intake_final_draft_gate_actions,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_final_draft_prep_gate,Class III — Administrative / Workflow,"firm_id, created_at, updated_by, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, capacity",Medium
intake_final_draft_sections,Class III — Administrative / Workflow,"firm_id, created_at, updated_by, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, capacity",Medium
intake_final_draft_version_register,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_followup_tasks,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at, status","firm_id, created_by, created_at, updated_at, status",None,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Low
intake_lane_events,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_module_ledger,Class III — Administrative / Workflow,"updated_by, updated_at, status","firm_id, created_by, created_at, updated_at, status","firm_id, created_by, created_at","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, capacity",Medium
intake_orchestration,Class III — Administrative / Workflow,"firm_id, created_at, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_review_gate_actions,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_review_gate_ledger,Class III — Administrative / Workflow,"firm_id, created_at, updated_by, updated_at","firm_id, created_by, created_at, updated_at, status","created_by, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, capacity",Medium
intake_review_notes,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at","firm_id, created_by, created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_scores,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at","firm_id, created_by, created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_sessions,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at, status","firm_id, created_by, created_at, updated_at, status",None,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Low
intake_snapshots,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at","firm_id, created_by, created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_translations,Class III — Administrative / Workflow,"firm_id, created_by, created_at","firm_id, created_by, created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
intake_workflow_bridge_answers,Class III — Administrative / Workflow,"firm_id, created_by, created_at, updated_at","firm_id, created_by, created_at, updated_at, status",status,"institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
learning_articles,Class IV — Reference / Registry,"created_at, updated_at, status","created_at, updated_at, status",None,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Low
ledger_entries,Class I — Institutional Core,"firm_id, trust_id","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
matter_events,Class I — Institutional Core,"firm_id, matter_id, created_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","trust_id, created_by, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
matter_intake_link_events,Class I — Institutional Core,"firm_id, created_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","trust_id, matter_id, created_by, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
matter_intake_links,Class I — Institutional Core,"firm_id, matter_id, created_by, created_at, updated_by, updated_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","trust_id, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id",High
matter_relationships,Class I — Institutional Core,"firm_id, matter_id, created_by, created_at, updated_at, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","trust_id, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
matters,Class I — Institutional Core,"firm_id, matter_id, created_at, updated_at, status","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","trust_id, created_by, capacity, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
media_records,Class III — Administrative / Workflow,"firm_id, trust_id, created_at","firm_id, created_by, created_at, updated_at, status","created_by, updated_at, status","institution_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
